council,suburb,Adults - Obesity Rate
Yarriambiack,MASSEY,33.0
Yarriambiack,MORTON PLAINS,33.0
Yarriambiack,WARMUR,33.0
Yarriambiack,WATCHEM,33.0
Yarriambiack,WATCHEM WEST,33.0
Buloke,BALLAPUR,32.4
Buloke,BIRCHIP,32.4
Buloke,BIRCHIP WEST,32.4
Buloke,CURYO,32.4
Buloke,JIL JIL,32.4
Buloke,KARYRIE,32.4
Buloke,KINNABULLA,32.4
Buloke,MARLBED,32.4
Buloke,NARRAPORT,32.4
Buloke,REEDY DAM,32.4
Buloke,WHIRILY,32.4
Buloke,BANYAN,32.4
Buloke,WATCHUPGA,32.4
Buloke,WILLANGIE,32.4
Buloke,WOOMELANG,32.4
Yarriambiack,LASCELLES,33.0
Buloke,SPEED,32.4
Buloke,TURRIFF,32.4
Buloke,TURRIFF EAST,32.4
Mildura,TEMPY,35.6
Hindmarsh,BIG DESERT,33.0
Hindmarsh,BOINKA,33.0
Hindmarsh,KULWIN,33.0
Hindmarsh,MITTYACK,33.0
Hindmarsh,MURRAY-SUNSET,33.0
Hindmarsh,OUYEN,33.0
Hindmarsh,TORRITA,33.0
Hindmarsh,TUTYE,33.0
Mildura,PATCHEWOLLOCK,35.6
Mildura,CARWARP,35.6
Mildura,COLIGNAN,35.6
Mildura,IRAAK,35.6
Mildura,NANGILOC,35.6
Mildura,CARDROSS,35.6
Mildura,CULLULLERAINE,35.6
Mildura,LINDSAY POINT,35.6
Mildura,MERINGUR,35.6
Mildura,MERRINEE,35.6
Mildura,MURRAY LOCK NO 9,35.6
Mildura,NEDS CORNER,35.6
Mildura,RED CLIFFS,35.6
Mildura,SUNNYCLIFFS,35.6
Mildura,WERRIMULL,35.6
Mildura,IRYMPLE,35.6
Mildura,MILDURA,35.6
Mildura,MILDURA EAST,35.6
Mildura,MILDURA WEST,35.6
Mildura,PARINGI,35.6
Swan Hill,HATTAH,33.0
Swan Hill,KOORLONG,33.0
Swan Hill,MILDURA CENTRE PLAZA,33.0
Swan Hill,MILDURA SOUTH,33.0
Swan Hill,NICHOLS POINT,33.0
Greater Dandenong,MILDURA,26.3
Mildura,BIRDWOODTON,35.6
Mildura,CABARITA,35.6
Mildura,MERBEIN,35.6
Mildura,MERBEIN SOUTH,35.6
Mildura,MERBEIN WEST,35.6
Mildura,WARGAN,35.6
Mildura,YELTA,35.6
Mildura,COWANGIE,35.6
Mildura,WALPEUP,35.6
Mildura,LINGA,35.6
Mildura,UNDERBOOL,35.6
Mildura,CARINA,35.6
Mildura,MURRAYVILLE,35.6
Mildura,PANITYA,35.6
Mount Alexander,MARONG,32.1
Mount Alexander,SHELBOURNE,32.1
Mount Alexander,WILSONS HILL,32.1
Greater Bendigo,BRIDGEWATER,34.2
Greater Bendigo,BRIDGEWATER NORTH,34.2
Greater Bendigo,BRIDGEWATER ON LODDON,34.2
Greater Bendigo,DERBY,34.2
Greater Bendigo,LEICHARDT,34.2
Greater Bendigo,YARRABERB,34.2
Loddon,BEARS LAGOON,34.8
Loddon,BRENANAH,34.8
Loddon,BULLABUL,34.8
Loddon,GLENALBYN,34.8
Loddon,INGLEWOOD,34.8
Loddon,JARKLIN,34.8
Loddon,KINGOWER,34.8
Loddon,KURTING,34.8
Loddon,POWLETT PLAINS,34.8
Loddon,RHEOLA,34.8
Loddon,SALISBURY WEST,34.8
Loddon,SERPENTINE,34.8
Buloke,BERRIMAL,32.4
Buloke,BORUNG,32.4
Buloke,FENTONS CREEK,32.4
Buloke,FERNIHURST,32.4
Buloke,FIERY FLAT,32.4
Buloke,KURRACA,32.4
Buloke,KURRACA WEST,32.4
Buloke,MYSIA,32.4
Buloke,NINE MILE,32.4
Buloke,RICHMOND PLAINS,32.4
Buloke,SKINNERS FLAT,32.4
Buloke,WEDDERBURN,32.4
Buloke,WEDDERBURN JUNCTION,32.4
Buloke,WEHLA,32.4
Buloke,WOOLSHED FLAT,32.4
Buloke,WOOSANG,32.4
Loddon,KINYPANIAL,34.8
Loddon,KORONG VALE,34.8
Loddon,SOUTH KINYPANIAL,34.8
Mitchell,PYALONG,33.6
Mitchell,EMU FLAT,33.6
Mitchell,GLENHOPE EAST,33.6
Mitchell,TOOBORAC,33.6
Mitchell,ARGYLE,33.6
Mitchell,COSTERFIELD,33.6
Mitchell,DERRINAL,33.6
Mitchell,HEATHCOTE,33.6
Mitchell,HEATHCOTE SOUTH,33.6
Mitchell,KNOWSLEY,33.6
Mitchell,LADYS PASS,33.6
Mitchell,MOORMBOOL WEST,33.6
Mitchell,MOUNT CAMEL,33.6
Mitchell,REDCASTLE,33.6
Loddon,BARRAKEE,34.8
Loddon,BUCKRABANYULE,34.8
Loddon,CHARLTON,34.8
Loddon,CHIRRIP,34.8
Loddon,GRANITE FLAT,34.8
Loddon,JEFFCOTT,34.8
Loddon,JEFFCOTT NORTH,34.8
Loddon,LAKE MARMAL,34.8
Loddon,NAREEWILLOCK,34.8
Loddon,TEDDYWADDY,34.8
Loddon,TEDDYWADDY WEST,34.8
Loddon,TERRAPPEE,34.8
Loddon,WOOROONOOK,34.8
Loddon,WYCHITELLA,34.8
Loddon,WYCHITELLA NORTH,34.8
Loddon,YEUNGROON,34.8
Loddon,YEUNGROON EAST,34.8
Loddon,BUNGULUKE,34.8
Loddon,DUMOSA,34.8
Loddon,GLENLOTH,34.8
Loddon,GLENLOTH EAST,34.8
Loddon,JERUK,34.8
Loddon,NINYEUNOOK,34.8
Loddon,TEDDYWADDY,34.8
Loddon,TEDDYWADDY WEST,34.8
Loddon,THALIA,34.8
Loddon,TOWANINNY,34.8
Loddon,TOWANINNY SOUTH,34.8
Loddon,WYCHEPROOF,34.8
Loddon,WYCHEPROOF SOUTH,34.8
Buloke,KALPIENUNG,32.4
Buloke,NULLAWIL,32.4
Buloke,CULGOA,32.4
Buloke,SUTTON,32.4
Buloke,WANGIE,32.4
Buloke,WARNE,32.4
Buloke,BERRIWILLOCK,32.4
Buloke,BOIGBEAT,32.4
Buloke,SPRINGFIELD,32.4
Swan Hill,BIMBOURIE,33.0
Swan Hill,LAKE TYRRELL,33.0
Swan Hill,MITTYACK,33.0
Swan Hill,MYALL,33.0
Swan Hill,NANDALY,33.0
Swan Hill,NINDA,33.0
Swan Hill,NYARRIN,33.0
Swan Hill,PIER MILAN,33.0
Swan Hill,SEA LAKE,33.0
Swan Hill,STRATEN,33.0
Swan Hill,TYENNA,33.0
Swan Hill,TYRRELL,33.0
Swan Hill,TYRRELL DOWNS,33.0
Gannawarra,BARRAPORT,32.4
Gannawarra,BARRAPORT WEST,32.4
Gannawarra,BOORT,32.4
Gannawarra,CANARY ISLAND,32.4
Gannawarra,CATUMNAL,32.4
Gannawarra,GREDGWIN,32.4
Gannawarra,LEAGHUR,32.4
Gannawarra,MINMINDIE,32.4
Gannawarra,YANDO,32.4
Gannawarra,CANNIE,32.4
Gannawarra,NINYEUNOOK,32.4
Gannawarra,OAKVALE,32.4
Gannawarra,QUAMBATOOK,32.4
Buloke,COKUM,32.4
Buloke,LALBERT,32.4
Buloke,TITTYBONG,32.4
Buloke,TITYBONG,32.4
Buloke,CHINANGIN,32.4
Buloke,GOWANFORD,32.4
Buloke,MURNUNGIN,32.4
Buloke,SPRINGFIELD,32.4
Buloke,ULTIMA,32.4
Buloke,ULTIMA EAST,32.4
Buloke,WAITCHIE,32.4
Swan Hill,BOLTON,33.0
Swan Hill,CHINKAPOOK,33.0
Swan Hill,COCAMBA,33.0
Swan Hill,GERAHMIN,33.0
Swan Hill,MANANGATANG,33.0
Swan Hill,TUROAR,33.0
Swan Hill,WINNAMBOOL,33.0
Swan Hill,ANNUELLO,33.0
Swan Hill,BANNERTON,33.0
Swan Hill,HAPPY VALLEY,33.0
Swan Hill,LIPAROO,33.0
Swan Hill,ROBINVALE,33.0
Swan Hill,ROBINVALE IRRIGATION DISTRICT SECTION B,33.0
Swan Hill,ROBINVALE IRRIGATION DISTRICT SECTION C,33.0
Swan Hill,ROBINVALE IRRIGATION DISTRICT SECTION D,33.0
Swan Hill,ROBINVALE IRRIGATION DISTRICT SECTION E,33.0
Swan Hill,TOL TOL,33.0
Swan Hill,WANDOWN,33.0
Swan Hill,WEMEN,33.0
Greater Bendigo,BENDIGO,34.2
Greater Bendigo,BENDIGO SOUTH,34.2
Greater Bendigo,DIAMOND HILL,34.2
Greater Bendigo,EAST BENDIGO,34.2
Greater Bendigo,FLORA HILL,34.2
Greater Bendigo,IRONBARK,34.2
Greater Bendigo,KENNINGTON,34.2
Greater Bendigo,LONG GULLY,34.2
Greater Bendigo,NORTH BENDIGO,34.2
Greater Bendigo,QUARRY HILL,34.2
Greater Bendigo,SANDHURST EAST,34.2
Greater Bendigo,SPRING GULLY,34.2
Greater Bendigo,STRATHDALE,34.2
Greater Bendigo,TYSONS REEF,34.2
Greater Bendigo,WEST BENDIGO,34.2
Greater Bendigo,WHITE HILLS,34.2
Mount Alexander,ARNOLD,32.1
Mount Alexander,ARNOLD WEST,32.1
Mount Alexander,ASCOT,32.1
Mount Alexander,AXE CREEK,32.1
Mount Alexander,AXEDALE,32.1
Mount Alexander,BAGSHOT,32.1
Mount Alexander,BAGSHOT NORTH,32.1
Mount Alexander,BENDIGO FORWARD,32.1
Mount Alexander,CORNELLA,32.1
Mount Alexander,CREEK VIEW,32.1
Mount Alexander,EMU CREEK,32.1
Mount Alexander,EPPALOCK,32.1
Mount Alexander,EPSOM,32.1
Mount Alexander,HUNTLY,32.1
Mount Alexander,HUNTLY NORTH,32.1
Mount Alexander,JUNORTOUN,32.1
Mount Alexander,KIMBOLTON,32.1
Mount Alexander,LAKE EPPALOCK,32.1
Mount Alexander,LLANELLY,32.1
Mount Alexander,LOCKWOOD,32.1
Mount Alexander,LOCKWOOD SOUTH,32.1
Mount Alexander,LONGLEA,32.1
Mount Alexander,MAIDEN GULLY,32.1
Mount Alexander,MANDURANG,32.1
Mount Alexander,MANDURANG SOUTH,32.1
Mount Alexander,MINTO,32.1
Mount Alexander,MOSQUITO CREEK,32.1
Mount Alexander,MURPHYS CREEK,32.1
Mount Alexander,MYOLA,32.1
Mount Alexander,MYOLA EAST,32.1
Mount Alexander,MYRTLE CREEK,32.1
Mount Alexander,NEWBRIDGE,32.1
Mount Alexander,PAINSWICK,32.1
Mount Alexander,PILCHERS BRIDGE,32.1
Mount Alexander,SEDGWICK,32.1
Mount Alexander,STRATHFIELDSAYE,32.1
Mount Alexander,TARNAGULLA,32.1
Mount Alexander,TOOLLEEN,32.1
Mount Alexander,WAANYARRA,32.1
Mount Alexander,WELLSFORD,32.1
Mount Alexander,WOODSTOCK ON LODDON,32.1
Yarra,BENDIGO,16.3
Greater Bendigo,BENDIGO DC,34.2
Greater Bendigo,BIG HILL,34.2
Greater Bendigo,GOLDEN GULLY,34.2
Greater Bendigo,GOLDEN SQUARE,34.2
Greater Bendigo,KANGAROO FLAT,34.2
Greater Bendigo,LANSELL PLAZA,34.2
Greater Bendigo,SPECIMEN HILL,34.2
Loddon,CALIFORNIA GULLY,34.8
Loddon,CAMPBELLS FOREST,34.8
Loddon,COMET HILL,34.8
Loddon,EAGLEHAWK,34.8
Loddon,EAGLEHAWK NORTH,34.8
Loddon,JACKASS FLAT,34.8
Loddon,MYERS FLAT,34.8
Loddon,SAILORS GULLY,34.8
Loddon,SEBASTIAN,34.8
Loddon,WHIPSTICK,34.8
Loddon,WOODVALE,34.8
Campaspe,BARNADOWN,33.0
Campaspe,FOSTERVILLE,33.0
Campaspe,GOORNONG,33.0
Campaspe,MUSKERRY,33.0
Campaspe,MUSKERRY EAST,33.0
Campaspe,BURNEWANG,33.0
Campaspe,COROP WEST,33.0
Campaspe,CREEK VIEW,33.0
Campaspe,ELMORE,33.0
Campaspe,HUNTER,33.0
Campaspe,RUNNYMEDE,33.0
Greater Bendigo,AVONMORE,34.2
Greater Bendigo,BURRAMBOOT,34.2
Greater Bendigo,COLBINABBIN,34.2
Greater Bendigo,COROP,34.2
Greater Bendigo,GOBARUP,34.2
Greater Bendigo,LYNDALE,34.2
Greater Bendigo,MAYREEF,34.2
Greater Bendigo,RUNNYMEDE,34.2
Campaspe,BALLENDELLA,33.0
Campaspe,BAMAWM,33.0
Campaspe,BAMAWM EXTENSION,33.0
Campaspe,BONN,33.0
Campaspe,DIGGORA,33.0
Campaspe,DIGGORA WEST,33.0
Campaspe,FAIRY DELL,33.0
Campaspe,NANNEELLA,33.0
Campaspe,ROCHESTER,33.0
Campaspe,ROCHESTER WEST,33.0
Campaspe,THE SETTLEMENT,33.0
Campaspe,TIMMERING,33.0
Campaspe,TORRUMBARRY,33.0
Campaspe,LOCKINGTON,33.0
Campaspe,BAMAWM EXTENSION,33.0
Campaspe,CAMPASPE WEST,33.0
Campaspe,ECHUCA,33.0
Campaspe,ECHUCA EAST,33.0
Campaspe,ECHUCA SOUTH,33.0
Campaspe,ECHUCA VILLAGE,33.0
Campaspe,ECHUCA WEST,33.0
Campaspe,KANYAPELLA,33.0
Campaspe,MCEVOYS,33.0
Campaspe,PATHO,33.0
Campaspe,PATHO WEST,33.0
Campaspe,ROSLYNMEAD,33.0
Campaspe,SIMMIE,33.0
Campaspe,WHARPARILLA,33.0
Campaspe,KOTTA,33.0
Campaspe,GUNBOWER,33.0
Loddon,HORFIELD,34.8
Loddon,LEITCHVILLE,34.8
Gannawarra,BURKES BRIDGE,32.4
Gannawarra,COHUNA,32.4
Gannawarra,CULLEN,32.4
Gannawarra,DALTONS BRIDGE,32.4
Gannawarra,GANNAWARRA,32.4
Gannawarra,KEELY,32.4
Gannawarra,MACORNA NORTH,32.4
Gannawarra,MCMILLANS,32.4
Gannawarra,MEAD,32.4
Gannawarra,MINCHA WEST,32.4
Gannawarra,WEE WEE RUP,32.4
Loddon,AUCHMORE,34.8
Loddon,DRUMMARTIN,34.8
Loddon,KAMAROOKA,34.8
Loddon,NEILBOROUGH,34.8
Loddon,RAYWOOD,34.8
Loddon,SUMMERFIELD,34.8
Loddon,DINGEE,34.8
Loddon,KAMAROOKA NORTH,34.8
Loddon,POMPAPIEL,34.8
Loddon,TANDARRA,34.8
Loddon,YALLOOK,34.8
Loddon,MILLOO,34.8
Loddon,PIAVELLA,34.8
Loddon,PRAIRIE,34.8
Loddon,TENNYSON,34.8
Campaspe,CALIVIL,33.0
Campaspe,MITIAMO,33.0
Campaspe,PINE GROVE,33.0
Campaspe,PINE GROVE EAST,33.0
Campaspe,TERRICK TERRICK EAST,33.0
Loddon,BALD ROCK,34.8
Loddon,GLADFIELD,34.8
Loddon,JUNGABURRA,34.8
Loddon,LODDON VALE,34.8
Loddon,MINCHA,34.8
Loddon,MOLOGA,34.8
Loddon,PYRAMID HILL,34.8
Loddon,SYLVATERRE,34.8
Loddon,TERRICK TERRICK,34.8
Loddon,YARRAWALLA,34.8
Loddon,DURHAM OX,34.8
Swan Hill,APPIN,33.0
Swan Hill,APPIN SOUTH,33.0
Swan Hill,BAEL BAEL,33.0
Swan Hill,BEAUCHAMP,33.0
Swan Hill,BENJEROOP,33.0
Swan Hill,BUDGERUM EAST,33.0
Swan Hill,CAPELS CROSSING,33.0
Swan Hill,DINGWALL,33.0
Swan Hill,EAST YEOBURN,33.0
Swan Hill,FAIRLEY,33.0
Swan Hill,GONN CROSSING,33.0
Swan Hill,KERANG,33.0
Swan Hill,KERANG EAST,33.0
Swan Hill,KOROOP,33.0
Swan Hill,LAKE MERAN,33.0
Swan Hill,MACORNA,33.0
Swan Hill,MEERING WEST,33.0
Swan Hill,MILNES BRIDGE,33.0
Swan Hill,MURRABIT,33.0
Swan Hill,MURRABIT WEST,33.0
Swan Hill,MYALL,33.0
Swan Hill,MYSTIC PARK,33.0
Swan Hill,NORMANVILLE,33.0
Swan Hill,PINE VIEW,33.0
Swan Hill,REEDY LAKE,33.0
Swan Hill,SANDHILL LAKE,33.0
Swan Hill,TEAL POINT,33.0
Swan Hill,TRAGOWEL,33.0
Swan Hill,WANDELLA,33.0
Swan Hill,WESTBY,33.0
Gannawarra,KOONDROOK,32.4
Gannawarra,BEAUCHAMP,32.4
Gannawarra,LAKE CHARM,32.4
Swan Hill,TRESCO,33.0
Swan Hill,LAKE BOGA,33.0
Swan Hill,TRESCO WEST,33.0
Gannawarra,CASTLE DONNINGTON,32.4
Gannawarra,CHILLINGOLLAH,32.4
Gannawarra,FISH POINT,32.4
Gannawarra,GOSCHEN,32.4
Gannawarra,KUNAT,32.4
Gannawarra,MEATIAN,32.4
Gannawarra,NOWIE,32.4
Gannawarra,NYRRABY,32.4
Gannawarra,PIRA,32.4
Gannawarra,POLISBET,32.4
Gannawarra,SPEEWA,32.4
Gannawarra,SWAN HILL,32.4
Gannawarra,SWAN HILL PIONEER,32.4
Gannawarra,SWAN HILL WEST,32.4
Gannawarra,WINLATON,32.4
Swan Hill,BULGA,33.0
Swan Hill,MALLAN,33.0
Swan Hill,MURRAWEE,33.0
Swan Hill,MURRAYDALE,33.0
Swan Hill,PENTAL ISLAND,33.0
Swan Hill,TYNTYNDER,33.0
Swan Hill,TYNTYNDER SOUTH,33.0
Swan Hill,ULTIMA EAST,33.0
Swan Hill,WOORINEN SOUTH,33.0
Swan Hill,WOORINEN,33.0
Swan Hill,WOORINEN NORTH,33.0
Swan Hill,BEVERFORD,33.0
Swan Hill,VINIFERA,33.0
Swan Hill,NYAH,33.0
Swan Hill,NYAH WEST,33.0
Swan Hill,MIRALIE,33.0
Swan Hill,TOWAN,33.0
Swan Hill,WOOD WOOD,33.0
Swan Hill,KENLEY,33.0
Swan Hill,KOOLOONONG,33.0
Swan Hill,LAKE POWELL,33.0
Swan Hill,NARRUNG,33.0
Swan Hill,NATYA,33.0
Swan Hill,PIANGIL,33.0
Swan Hill,BOUNDARY BEND,33.0
Strathbogie,TABILK,35.1
Greater Shepparton,BAILIESTON,34.4
Greater Shepparton,GOULBURN WEIR,34.4
Greater Shepparton,GRAYTOWN,34.4
Greater Shepparton,KIRWANS BRIDGE,34.4
Greater Shepparton,MITCHELLSTOWN,34.4
Greater Shepparton,NAGAMBIE,34.4
Greater Shepparton,WAHRING,34.4
Greater Shepparton,WIRRATE,34.4
Strathbogie,DHURRINGILE,35.1
Strathbogie,MOORILIM,35.1
Strathbogie,MURCHISON,35.1
Strathbogie,MURCHISON EAST,35.1
Strathbogie,MURCHISON NORTH,35.1
Strathbogie,MOORA,35.1
Strathbogie,RUSHWORTH,35.1
Strathbogie,WANALTA,35.1
Strathbogie,WARANGA,35.1
Strathbogie,WARANGA SHORES,35.1
Strathbogie,WHROO,35.1
Greater Shepparton,TOOLAMBA,34.4
Greater Shepparton,TOOLAMBA WEST,34.4
Greater Shepparton,COOMA,34.4
Greater Shepparton,GILLIESTON,34.4
Greater Shepparton,GIRGARRE EAST,34.4
Greater Shepparton,HARSTON,34.4
Greater Shepparton,MOOROOPNA NORTH WEST,34.4
Greater Shepparton,TATURA,34.4
Greater Shepparton,TATURA EAST,34.4
Greater Shepparton,TOOLAMBA WEST,34.4
Greater Shepparton,WARANGA,34.4
Greater Shepparton,BYRNESIDE,34.4
Greater Shepparton,MERRIGUM,34.4
Moreland,KYABRAM,24.2
Greater Shepparton,KYABRAM,34.4
Greater Shepparton,KYABRAM SOUTH,34.4
Greater Shepparton,LANCASTER,34.4
Greater Shepparton,MOUNT SCOBIE,34.4
Greater Shepparton,ST GERMAINS,34.4
Greater Shepparton,TARIPTA,34.4
Greater Shepparton,WYUNA,34.4
Greater Shepparton,WYUNA EAST,34.4
Campaspe,KOYUGA SOUTH,33.0
Campaspe,KY VALLEY,33.0
Campaspe,KY WEST,33.0
Campaspe,KYVALLEY,33.0
Campaspe,TONGALA,33.0
Campaspe,YAMBUNA,33.0
Campaspe,CORNELIA CREEK,33.0
Campaspe,KOYUGA,33.0
Campaspe,STRATHALLAN,33.0
Greater Shepparton,CARAG CARAG,34.4
Greater Shepparton,STANHOPE,34.4
Greater Shepparton,STANHOPE SOUTH,34.4
Campaspe,GIRGARRE,33.0
Greater Shepparton,ARDMONA,34.4
Greater Shepparton,COOMBOONA,34.4
Greater Shepparton,MOOROOPNA,34.4
Greater Shepparton,MOOROOPNA NORTH,34.4
Greater Shepparton,UNDERA,34.4
Greater Shepparton,BENARCH,34.4
Greater Shepparton,BRANDITT,34.4
Greater Shepparton,CANIAMBO,34.4
Greater Shepparton,COLLIVER,34.4
Greater Shepparton,DUNKIRK,34.4
Greater Shepparton,SHEPPARTON,34.4
Greater Shepparton,SHEPPARTON SOUTH,34.4
Strathbogie,ARCADIA,35.1
Strathbogie,ARCADIA SOUTH,35.1
Strathbogie,BRANDITT,35.1
Strathbogie,COSGROVE,35.1
Strathbogie,COSGROVE SOUTH,35.1
Strathbogie,GRAHAMVALE,35.1
Strathbogie,KARRAMOMUS,35.1
Strathbogie,KIALLA,35.1
Strathbogie,KIALLA EAST,35.1
Strathbogie,KIALLA WEST,35.1
Strathbogie,LEMNOS,35.1
Strathbogie,ORRVALE,35.1
Strathbogie,PINE LODGE,35.1
Strathbogie,SHEPPARTON EAST,35.1
Strathbogie,SHEPPARTON NORTH,35.1
Strathbogie,TAMLEUGH WEST,35.1
Greater Shepparton,SHEPPARTON,34.4
Greater Shepparton,CONGUPNA,34.4
Moira,BUNBARTHA,34.6
Moira,INVERGORDON SOUTH,34.6
Moira,KATANDRA,34.6
Moira,KATANDRA WEST,34.6
Moira,MARIONVALE,34.6
Moira,MARUNGI,34.6
Moira,TALLYGAROOPNA,34.6
Moira,ZEERUST,34.6
Moira,KAARIMBA,34.6
Moira,MUNDOONA,34.6
Moira,WUNGHNU,34.6
Moira,DRUMANURE,34.6
Moira,INVERGORDON,34.6
Moira,NARING,34.6
Moira,NUMURKAH,34.6
Moira,WAAIA,34.6
Moira,YALCA,34.6
Moira,KOTUPNA,34.6
Moira,NATHALIA,34.6
Moira,YIELIMA,34.6
Moira,BARMAH,34.6
Moira,LOWER MOIRA,34.6
Moira,PICOLA,34.6
Moira,PICOLA WEST,34.6
Moira,KATUNGA,34.6
Moira,BEARII,34.6
Moira,MYWEE,34.6
Moira,STRATHMERTON,34.6
Moira,ULUPNA,34.6
Moira,COBRAM,34.6
Berrigan,BAROOGA,
Berrigan,COBRAM,
Berrigan,COBRAM EAST,
Berrigan,KOONOOMOO,
Berrigan,LALALTY,
Berrigan,MUCKATAH,
Berrigan,YARROWEYAH,
Strathbogie,DOOKIE,35.1
Strathbogie,MOUNT MAJOR,35.1
Strathbogie,NALINGA,35.1
Strathbogie,WAGGARANDALL,35.1
Strathbogie,WATTVILLE,35.1
Strathbogie,YABBA NORTH,35.1
Strathbogie,YABBA SOUTH,35.1
Strathbogie,YOUANMITE,35.1
Greater Shepparton,DOOKIE COLLEGE,34.4
Moira,KATAMATITE,34.6
